Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
50,29,male,1,own,,moderate,2333,24,furniture/equipment,Medium
51,30,male,3,own,little,moderate,5965,27,car,High
52,25,male,2,own,little,,1262,12,radio/TV,Low
53,31,male,2,own,,,3378,18,car,Medium
54,57,male,2,free,little,moderate,2225,36,car,Low
55,26,male,1,own,,,783,6,car,Low
56,52,male,3,own,,moderate,6468,12,radio/TV,Medium
57,31,female,2,own,little,,9566,36,radio/TV,High
58,23,female,3,own,little,rich,1961,18,car,Low
59,23,female,1,rent,little,little,6229,36,furniture/equipment,High
60,27,male,2,own,little,moderate,1391,9,business,Low
61,50,male,2,own,,moderate,1537,15,radio/TV,Low
62,61,male,3,free,little,moderate,1953,36,business,Low
63,25,male,2,own,little,moderate,14421,48,business,High
64,26,female,2,own,little,,3181,24,radio/TV,Medium
65,48,male,2,own,,,5190,27,repairs,High
66,29,female,2,own,little,,2171,12,radio/TV,Low
67,22,male,2,own,rich,moderate,1007,12,car,Low
68,37,male,2,free,little,,1819,36,education,Low
69,25,female,2,own,,,2394,36,radio/TV,Medium
70,30,female,2,own,little,,8133,36,car,High
71,46,male,1,rent,,,730,7,radio/TV,Low
72,51,male,3,free,little,little,1164,8,vacation/others,Low
73,41,female,1,own,little,moderate,5954,42,business,High
74,40,male,3,own,,little,1977,36,education,Low
75,66,male,3,free,little,little,1526,12,car,Low
76,34,male,2,own,little,little,3965,42,radio/TV,Medium
77,51,male,2,own,little,moderate,4771,11,radio/TV,Medium
78,39,male,1,own,,,9436,54,car,High
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,Medium
80,44,female,2,own,,,5943,24,radio/TV,Medium
81,47,male,2,own,quite rich,,1213,15,radio/TV,Low
82,24,female,1,rent,moderate,,1568,18,business,Low
83,58,female,1,own,little,little,1755,24,vacation/others,Low
84,52,male,1,own,little,little,2315,10,radio/TV,Low
85,29,female,3,own,little,,1412,12,business,Low
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,Low
87,47,male,2,free,moderate,moderate,12612,36,education,High
88,30,male,3,own,moderate,little,2249,18,car,Low
89,28,male,2,own,little,little,1108,12,repairs,Low
90,56,male,2,own,little,,618,12,radio/TV,Low
91,54,male,2,own,little,little,1409,12,car,Low
92,33,female,1,own,,,797,12,radio/TV,Low
93,20,male,2,rent,,rich,3617,24,furniture/equipment,Medium
94,54,male,2,own,rich,moderate,1318,12,car,Low
95,58,male,2,rent,little,moderate,15945,54,business,High
96,61,female,2,own,,,2012,12,education,Low
97,34,male,2,own,moderate,moderate,2622,18,business,Medium
98,36,male,2,own,little,moderate,2337,36,radio/TV,Medium
99,36,male,3,rent,,moderate,7057,20,car,Medium
100,41,male,1,rent,moderate,,1469,24,car,Low
101,24,male,2,rent,little,moderate,2323,36,radio/TV,Medium
102,24,female,2,own,little,,932,6,radio/TV,Low
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,Low
104,26,male,2,rent,,,2445,12,car,Medium
105,39,male,3,own,little,moderate,11938,24,vacation/others,Medium
106,39,male,3,own,little,,6458,18,car,Medium
107,32,male,2,own,little,moderate,6078,12,car,Medium
108,30,female,2,own,,little,7721,24,furniture/equipment,Medium
109,35,male,2,own,quite rich,moderate,1410,14,business,Low
110,31,male,2,own,moderate,moderate,1449,6,business,Low
111,23,female,2,rent,little,rich,392,15,education,Low
112,28,male,1,rent,little,moderate,6260,18,car,Medium
113,25,female,2,own,little,,7855,36,car,High
114,35,male,2,own,quite rich,little,1680,12,radio/TV,Low
115,47,male,2,own,,,3578,48,radio/TV,Medium
116,30,female,3,own,,little,7174,42,radio/TV,High
117,27,female,2,rent,,little,2132,10,furniture/equipment,Low
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,Medium
119,36,male,3,own,quite rich,moderate,2366,12,car,Medium
120,25,female,2,own,little,little,1835,21,radio/TV,Low
121,41,female,3,rent,little,,3868,24,car,Medium
122,24,male,1,rent,little,,1768,12,furniture/equipment,Low
123,63,male,2,free,little,rich,781,10,car,Low
124,27,female,2,rent,,moderate,1924,18,furniture/equipment,Low
125,30,male,2,own,little,little,2121,12,car,Low
126,40,male,1,own,little,little,701,12,radio/TV,Low
127,30,male,2,own,little,moderate,639,12,repairs,Low
128,34,male,3,own,little,moderate,1860,12,car,Low
129,29,female,2,own,little,little,3499,12,car,Medium
130,24,female,2,own,,moderate,8487,48,car,High
131,29,male,2,own,little,little,6887,36,education,High
132,27,male,1,own,little,,2708,15,furniture/equipment,Medium
133,47,male,2,free,little,,1984,18,furniture/equipment,Low
134,21,female,2,own,moderate,,10144,60,radio/TV,High
135,38,female,2,own,,,1240,12,radio/TV,Low
136,27,male,2,own,rich,,8613,27,car,High
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,Low
138,35,male,2,own,,moderate,2728,15,radio/TV,Medium
139,44,female,1,rent,little,rich,1881,12,radio/TV,Low
140,27,male,0,own,rich,rich,709,6,car,Low
141,30,female,3,own,little,moderate,4795,36,radio/TV,Medium
142,27,male,3,own,little,little,3416,27,radio/TV,Medium
143,22,male,2,own,little,little,2462,18,furniture/equipment,Medium
144,23,female,2,own,little,,2288,21,furniture/equipment,Low
145,30,male,2,own,moderate,moderate,3566,48,business,Medium
146,39,female,2,own,little,little,860,6,car,Low
147,51,female,2,own,moderate,,682,12,car,Low
148,28,male,2,own,little,little,5371,36,furniture/equipment,High
149,46,male,2,own,rich,,1582,18,radio/TV,Low
150,42,male,2,free,moderate,,1346,6,radio/TV,Low
151,38,male,2,own,little,,1924,10,radio/TV,Low
152,24,male,2,own,little,rich,5848,36,radio/TV,High
153,29,female,2,rent,rich,moderate,7758,24,car,Medium
154,36,male,3,rent,moderate,moderate,6967,24,business,Medium
155,20,female,2,rent,little,little,1282,12,furniture/equipment,Low
156,48,male,2,own,moderate,little,1288,9,repairs,Low
157,45,male,1,own,little,little,339,12,education,Low
158,38,male,2,own,moderate,moderate,3512,24,car,Medium
159,34,male,1,own,,,1898,6,radio/TV,Low
160,36,male,2,own,moderate,,2872,24,radio/TV,Medium
161,30,female,2,own,little,,1055,18,car,Low
162,36,male,2,own,quite rich,,1262,15,domestic appliances,Low
163,70,male,3,free,little,moderate,7308,10,car,Medium
164,36,male,2,own,quite rich,,909,36,car,Low
165,32,male,2,own,quite rich,,2978,6,furniture/equipment,Medium
166,33,female,2,own,little,little,1131,18,furniture/equipment,Low
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,Low
168,25,female,2,rent,little,,3972,24,furniture/equipment,Medium
169,31,male,2,own,little,moderate,1935,24,business,Low
170,33,male,2,rent,little,little,950,15,car,Low
171,26,female,2,own,little,,763,12,furniture/equipment,Low
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,Low
173,33,male,2,own,little,moderate,1414,8,radio/TV,Low
174,26,male,2,own,little,little,3414,21,education,Medium
175,53,female,3,own,,,7485,30,car,High
176,42,male,2,own,little,little,2577,12,furniture/equipment,Medium
177,52,male,2,own,quite rich,little,338,6,radio/TV,Low
178,31,male,3,rent,little,,1963,12,radio/TV,Low
179,65,male,2,own,little,little,571,21,car,Low
180,28,male,2,own,little,,9572,36,business,High
181,30,male,3,own,little,moderate,4455,36,business,Medium
182,40,male,1,own,,little,1647,21,car,Low
183,50,male,2,own,rich,,3777,24,furniture/equipment,Medium
184,36,male,2,own,little,moderate,884,18,car,Low
185,31,male,2,own,little,,1360,15,radio/TV,Low
186,74,female,3,free,little,moderate,5129,9,car,Medium
187,68,male,0,free,little,moderate,1175,16,car,Low
188,20,male,2,own,moderate,little,674,12,radio/TV,Low
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,Medium
190,54,male,3,own,rich,,4591,24,business,Medium
191,34,male,1,free,moderate,moderate,3844,48,business,Medium
192,36,male,2,own,little,moderate,3915,27,business,Medium
193,29,male,2,rent,little,,2108,6,radio/TV,Low
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,Medium
195,34,female,3,own,little,moderate,1501,9,education,Low
196,28,female,2,own,little,,1382,6,radio/TV,Low
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,Low
198,36,male,2,free,,moderate,2760,24,car,Medium
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,Medium
200,52,male,2,own,quite rich,,936,9,education,Low
201,27,male,1,own,little,little,1168,12,car,Low
202,26,male,2,own,little,,5117,27,business,High
203,21,male,2,rent,little,little,902,12,education,Low
204,38,male,1,own,little,,1495,12,car,Low
205,38,male,3,free,little,little,10623,30,car,High
206,43,male,2,own,little,,1935,12,furniture/equipment,Low
207,26,male,2,own,little,moderate,1424,12,domestic appliances,Low
208,21,male,1,own,little,little,6568,24,business,Medium
209,55,male,2,own,rich,,1413,12,car,Low
210,33,male,2,own,,,3074,9,radio/TV,Medium
211,45,female,1,own,,,3835,36,radio/TV,Medium
212,50,male,2,own,little,little,5293,27,business,High
213,66,male,3,own,little,rich,1908,30,business,Low
214,51,male,2,own,,,3342,36,radio/TV,Medium
215,39,female,1,own,,moderate,932,6,education,Low
216,31,male,2,own,little,little,3104,18,business,Medium
217,23,male,2,own,little,rich,3913,36,radio/TV,Medium
218,24,male,1,rent,little,little,3021,24,furniture/equipment,Medium
219,64,female,2,own,little,,1364,10,car,Low
220,26,male,1,own,little,moderate,625,12,radio/TV,Low
221,23,female,2,rent,,little,1200,12,education,Low
222,30,male,2,own,little,,707,12,radio/TV,Low
223,32,male,2,own,,,2978,24,business,Medium
224,30,male,2,own,little,,4657,15,car,Medium
225,27,male,2,own,little,,2613,36,repairs,Medium
226,27,male,2,own,rich,moderate,10961,48,radio/TV,High
227,53,male,3,free,little,little,7865,12,furniture/equipment,Medium
228,22,male,2,own,little,,1478,9,radio/TV,Low
229,22,male,2,free,little,little,3149,24,furniture/equipment,Medium
230,26,male,2,own,little,rich,4210,36,radio/TV,Medium
231,51,male,1,free,quite rich,,2507,9,car,Medium
232,35,male,2,own,moderate,,2141,12,radio/TV,Low
233,25,male,1,own,little,moderate,866,18,radio/TV,Low
234,42,male,1,own,little,,1544,4,radio/TV,Low
235,30,male,3,own,little,little,1823,24,radio/TV,Low
236,23,male,0,own,,moderate,14555,6,car,Medium
237,61,male,1,rent,moderate,moderate,2767,21,business,Medium
238,35,female,2,own,little,,1291,12,radio/TV,Low
239,39,male,2,own,little,little,2522,30,radio/TV,Medium
240,29,female,2,own,,little,915,24,car,Low
241,51,male,2,own,little,,1595,6,radio/TV,Low
242,24,male,2,free,little,little,4605,48,car,Medium
243,27,female,2,own,little,,1185,12,business,Low
244,35,female,1,own,quite rich,,3447,12,education,Medium
245,25,male,2,own,little,,1258,24,business,Low
246,52,male,2,own,little,,717,12,radio/TV,Low
247,35,male,2,rent,moderate,,1204,6,car,Low
248,26,male,2,own,little,rich,1925,24,furniture/equipment,Low
249,22,female,2,rent,little,,433,18,radio/TV,Low
250,39,female,1,own,rich,little,666,6,car,Low
251,46,female,1,own,little,rich,2251,12,furniture/equipment,Low
252,24,female,2,own,little,moderate,2150,30,car,Low
253,35,male,2,own,moderate,,4151,24,furniture/equipment,Medium
254,24,male,2,own,,moderate,2030,9,furniture/equipment,Low
255,27,male,1,own,,moderate,7418,60,radio/TV,High
256,35,male,1,own,little,,2684,24,radio/TV,Medium
257,29,male,2,free,little,little,2149,12,radio/TV,Low
258,23,female,2,own,moderate,,3812,15,car,Medium
259,57,female,1,own,moderate,,1154,11,radio/TV,Low
260,27,male,2,own,little,little,1657,12,furniture/equipment,Low
261,55,female,2,own,little,little,1603,24,radio/TV,Low
262,36,male,3,free,little,little,5302,18,car,Medium
263,57,female,1,free,little,,2748,12,education,Medium
264,32,male,1,own,little,,1231,10,car,Low
265,37,male,2,own,little,moderate,802,15,radio/TV,Low
266,36,male,2,own,,,6304,36,business,High
267,38,female,2,own,little,,1533,24,radio/TV,Low
268,45,male,3,own,little,little,8978,14,car,Medium
269,25,male,2,own,,,999,24,radio/TV,Low
270,32,male,2,own,,,2662,18,car,Medium
271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,Low
272,36,male,3,free,,moderate,12169,48,car,High
273,28,male,2,own,little,moderate,3060,48,radio/TV,Medium
274,34,male,1,own,little,little,11998,30,repairs,High
275,32,male,2,own,little,,2697,9,radio/TV,Medium
276,26,female,2,own,little,,2404,18,radio/TV,Medium
277,49,male,1,own,,little,1262,12,furniture/equipment,Low
278,32,female,2,own,little,,4611,6,furniture/equipment,Medium
279,29,male,3,rent,moderate,,1901,24,radio/TV,Low
280,23,male,2,rent,rich,,3368,15,car,Medium
281,50,male,2,own,little,,1574,12,furniture/equipment,Low
282,49,male,1,own,,rich,1445,18,radio/TV,Low
283,63,male,2,own,,,1520,15,furniture/equipment,Low
284,37,male,2,own,moderate,moderate,3878,24,car,Medium
285,35,female,1,own,little,little,10722,47,car,High
286,26,male,2,own,little,little,4788,48,car,Medium
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,High
288,49,female,2,own,little,moderate,1092,12,radio/TV,Low
289,48,male,2,own,little,little,1024,24,radio/TV,Low
290,26,male,2,own,little,,1076,12,business,Low
291,28,male,3,rent,little,moderate,9398,36,car,High
292,44,female,3,free,little,little,6419,24,car,Medium
293,56,male,2,free,little,rich,4796,42,car,Medium
294,46,male,3,own,,,7629,48,business,High
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,High
296,20,female,2,rent,,,4675,12,car,Medium
297,45,male,1,own,,,1287,10,car,Low
298,43,male,2,own,little,,2515,18,furniture/equipment,Medium
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,Medium
300,54,female,0,own,little,,672,6,car,Low
301,42,female,2,own,little,moderate,3804,36,radio/TV,Medium
302,37,male,1,own,,rich,1344,24,car,Low
303,49,male,2,own,little,little,1038,10,car,Low
304,44,male,2,free,quite rich,,10127,48,car,High
305,33,male,2,own,rich,,1543,6,furniture/equipment,Low
306,24,female,1,rent,,,4811,30,car,Medium
307,33,male,1,own,moderate,little,727,12,radio/TV,Low
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,Low
309,22,male,1,rent,little,moderate,276,9,car,Low
310,40,male,0,free,,moderate,5381,48,vacation/others,High
311,25,male,2,own,moderate,,5511,24,furniture/equipment,Medium
312,26,female,2,own,little,rich,3749,24,furniture/equipment,Medium
313,25,male,1,own,little,moderate,685,12,car,Low
314,29,male,1,own,,rich,1494,4,car,Low
315,31,male,2,own,little,little,2746,36,furniture/equipment,Medium
316,38,male,1,own,little,little,708,12,furniture/equipment,Low
317,48,female,1,own,,moderate,4351,24,furniture/equipment,Medium
318,32,male,2,own,little,,701,12,education,Low
319,27,female,1,own,little,little,3643,15,furniture/equipment,Medium
320,28,male,3,own,little,moderate,4249,30,car,Medium
321,32,male,2,own,little,little,1938,24,radio/TV,Low
322,34,male,3,free,little,little,2910,24,car,Medium
323,28,male,2,own,rich,little,2659,18,furniture/equipment,Medium
324,36,female,2,own,little,,1028,18,car,Low
325,39,male,1,own,little,little,3398,8,car,Medium
326,49,male,2,rent,,,5801,12,furniture/equipment,Medium
327,34,female,2,own,rich,,1525,24,car,Low
328,31,male,2,own,little,rich,4473,36,radio/TV,Medium
329,28,male,2,own,little,moderate,1068,6,radio/TV,Low
330,75,male,3,free,little,little,6615,24,car,Medium
331,30,female,2,own,moderate,,1864,18,education,Low
332,24,female,3,own,moderate,moderate,7408,60,car,High
333,24,female,1,rent,moderate,,11590,48,car,High
334,23,male,2,rent,little,little,4110,24,furniture/equipment,Medium
335,44,male,3,rent,little,little,3384,6,furniture/equipment,Medium
336,23,female,1,own,little,moderate,2101,13,radio/TV,Low
337,24,female,2,rent,,little,1275,15,domestic appliances,Low
338,28,male,2,own,little,little,4169,24,furniture/equipment,Medium
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,Low
340,24,female,2,free,little,moderate,5743,24,education,Medium
341,26,female,1,rent,little,little,3599,21,furniture/equipment,Medium
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,Medium
343,33,male,3,own,little,moderate,4439,18,business,Medium
344,37,male,1,own,little,rich,3949,10,car,Medium
345,43,female,1,own,little,,1459,15,radio/TV,Low
346,23,male,2,own,little,moderate,882,13,radio/TV,Low
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,Medium
348,34,male,1,own,moderate,,1743,6,business,Low
349,32,male,2,free,rich,moderate,1136,9,education,Low
350,23,female,2,rent,little,,1236,9,domestic appliances,Low
351,29,female,2,own,little,moderate,959,9,furniture/equipment,Low
352,38,male,3,own,,,3229,18,car,Medium
353,28,male,2,rent,little,little,6199,12,radio/TV,Medium
354,46,male,2,free,quite rich,,727,10,education,Low
355,23,male,1,own,little,moderate,1246,24,car,Low
356,49,male,2,own,,,2331,12,radio/TV,Medium
357,26,male,3,own,little,,4463,36,radio/TV,Medium
358,28,male,2,own,little,,776,12,radio/TV,Low
359,23,female,2,rent,little,little,2406,30,furniture/equipment,Medium
360,61,male,2,free,,moderate,1239,18,education,Low
361,37,male,3,own,,rich,3399,12,radio/TV,Medium
362,36,female,2,own,little,rich,2247,12,car,Low
363,21,male,2,rent,little,,1766,6,furniture/equipment,Low
364,25,male,0,own,little,little,2473,18,furniture/equipment,Medium
365,36,male,2,own,little,,1542,12,business,Low
366,27,male,2,own,little,,3850,18,car,Medium
367,22,female,2,rent,little,little,3650,18,furniture/equipment,Medium
368,42,male,2,own,little,little,3446,36,furniture/equipment,Medium
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,Medium
370,36,male,2,own,,,3079,36,car,Medium
371,33,male,2,own,little,,6070,18,radio/TV,Medium
372,23,female,2,rent,little,,2146,10,furniture/equipment,Low
373,63,male,3,free,,,13756,60,car,High
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,High
375,37,female,2,rent,little,little,7685,48,business,High
376,34,male,2,own,little,,2320,18,radio/TV,Medium
377,36,male,2,free,,,846,7,radio/TV,Low
378,57,male,3,free,little,moderate,14318,36,car,High
379,52,female,1,own,moderate,,362,6,car,Low
380,39,male,2,own,,little,2212,20,furniture/equipment,Low
381,38,female,3,free,little,moderate,12976,18,car,Medium
382,25,female,2,rent,,,1283,22,car,Low
383,26,male,2,own,little,rich,1330,12,car,Low
384,26,male,1,own,moderate,,4272,30,business,Medium
385,25,female,2,own,little,,2238,18,radio/TV,Low
386,21,female,2,rent,,,1126,18,radio/TV,Low
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,Medium
388,27,male,2,own,quite rich,moderate,2326,15,business,Medium
389,27,female,2,own,little,,1449,9,business,Low
390,30,male,3,own,little,,1820,18,car,Low
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,Low
392,39,male,3,free,little,little,3249,36,car,Medium
393,31,female,2,own,little,little,1957,6,radio/TV,Low
394,31,male,3,own,little,,2406,9,furniture/equipment,Medium
395,32,male,2,rent,moderate,moderate,11760,39,education,High
396,55,female,3,free,little,little,2578,12,furniture/equipment,Medium
397,46,male,2,own,little,little,2348,36,furniture/equipment,Medium
398,46,male,2,rent,little,moderate,1223,12,car,Low
399,43,female,1,own,rich,,1516,24,radio/TV,Low
400,39,male,2,own,little,,1473,18,radio/TV,Low
401,28,male,2,own,,moderate,1887,18,business,Low
402,27,male,2,own,little,,8648,24,business,Medium
403,27,male,1,own,little,,802,14,car,Low
404,43,male,2,own,,moderate,2899,18,car,Medium
405,22,male,2,own,little,moderate,2039,24,radio/TV,Low
406,43,male,2,own,,,2197,24,car,Low
407,27,male,2,own,little,little,1053,15,radio/TV,Low
408,26,male,3,own,quite rich,,3235,24,radio/TV,Medium
409,28,male,2,own,quite rich,rich,939,12,car,Low
410,20,female,2,own,little,moderate,1967,24,radio/TV,Low
411,35,male,3,own,little,,7253,33,car,High
412,42,male,3,own,little,,2292,12,business,Low
413,40,male,1,rent,quite rich,,1597,10,car,Low
414,35,female,2,own,,little,1381,24,car,Low
415,35,male,2,own,little,,5842,36,car,High
416,33,male,1,own,little,little,2579,12,car,Medium
417,23,female,2,rent,,little,8471,18,education,Medium
418,31,female,3,own,quite rich,,2782,21,car,Medium
419,33,female,2,own,,moderate,1042,18,car,Low
420,20,female,2,rent,rich,,3186,15,car,Medium
421,30,male,2,own,,moderate,2028,12,car,Low
422,47,male,1,own,little,moderate,958,12,car,Low
423,34,male,3,own,moderate,,1591,21,furniture/equipment,Low
424,25,female,2,own,,moderate,2762,12,furniture/equipment,Medium
425,21,male,2,rent,little,moderate,2779,18,car,Medium
426,29,male,2,own,little,,2743,28,radio/TV,Medium
427,46,male,2,own,rich,,1149,18,radio/TV,Low
428,20,male,2,own,little,,1313,9,furniture/equipment,Low
429,55,female,0,free,little,little,1190,18,repairs,Low
430,74,male,1,own,little,,3448,5,business,Medium
431,29,male,3,own,little,moderate,11328,24,vacation/others,Medium
432,36,male,3,free,little,little,1872,6,furniture/equipment,Low
433,33,male,2,own,little,,2058,24,repairs,Low
434,25,male,2,own,little,little,2136,9,furniture/equipment,Low
435,25,male,2,own,,moderate,1484,12,radio/TV,Low
436,23,male,1,rent,quite rich,,660,6,repairs,Low
437,37,female,2,own,rich,,1287,24,car,Low
438,65,male,0,own,little,little,3394,42,repairs,Medium
439,26,female,0,own,little,rich,609,12,business,Low
440,39,male,3,own,little,,1884,12,car,Low
441,30,female,2,own,little,little,1620,12,furniture/equipment,Low
442,29,male,2,own,little,moderate,2629,20,vacation/others,Medium
443,41,male,1,own,little,,719,12,education,Low
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,High
445,41,female,1,rent,,,1244,9,education,Low
446,34,female,2,own,little,little,1842,36,car,Low
447,35,male,2,own,little,moderate,2576,7,radio/TV,Medium
448,55,female,3,own,,rich,1424,12,furniture/equipment,Low
449,61,male,2,own,rich,moderate,1512,15,repairs,Low
450,30,male,3,own,,,11054,36,car,High
451,29,female,2,own,little,,518,6,radio/TV,Low
452,34,male,2,own,little,,2759,12,furniture/equipment,Medium
453,35,male,3,own,little,,2670,24,car,Medium
454,31,male,2,own,little,little,4817,24,car,Medium
455,29,female,3,own,little,,2679,24,car,Medium
456,36,male,2,rent,little,little,3905,11,car,Medium
457,35,male,2,free,little,little,3386,12,car,Medium
458,27,female,2,own,little,little,343,6,domestic appliances,Low
459,32,male,2,own,little,,4594,18,radio/TV,Medium
460,37,male,2,own,little,little,3620,36,furniture/equipment,Medium
461,36,male,2,own,little,little,1721,15,car,Low
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,Medium
463,38,male,2,own,,moderate,754,12,education,Low
464,34,male,2,own,little,,1950,18,business,Low
465,63,male,2,own,little,little,2924,24,car,Medium
466,29,female,1,rent,little,little,1659,24,radio/TV,Low
467,32,male,2,own,,,7238,48,radio/TV,High
468,26,female,2,own,little,,2764,33,business,Medium
469,35,male,1,own,little,,4679,24,car,Medium
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,Medium
471,23,female,2,own,little,little,448,6,education,Low
472,28,male,1,own,little,little,654,9,car,Low
473,36,male,3,own,,,1238,6,education,Low
474,33,male,2,own,little,moderate,1245,18,radio/TV,Low
475,26,female,2,rent,little,little,3114,18,furniture/equipment,Medium
476,24,male,2,own,quite rich,,2569,39,car,Medium
477,25,male,2,own,little,rich,5152,24,radio/TV,Medium
478,39,male,1,own,moderate,moderate,1037,12,business,Low
479,44,male,2,own,little,little,1478,15,furniture/equipment,Low
480,23,female,1,own,little,moderate,3573,12,radio/TV,Medium
481,26,male,2,own,little,moderate,1201,24,car,Low
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,Medium
483,30,female,2,own,rich,,960,15,furniture/equipment,Low
484,44,male,2,own,quite rich,,1163,12,car,Low
485,47,male,3,own,little,moderate,1209,6,car,Low
486,52,male,2,own,little,,3077,12,radio/TV,Medium
487,62,female,2,free,little,,3757,24,car,Medium
488,35,male,1,rent,moderate,,1418,10,car,Low
489,26,male,2,rent,little,,3518,6,car,Medium
490,26,male,2,own,little,,1934,12,radio/TV,Low
491,42,female,3,free,little,moderate,8318,27,business,High
492,27,female,2,own,moderate,,1237,6,radio/TV,Low
493,38,male,2,own,,moderate,368,6,radio/TV,Low
494,39,male,1,rent,little,little,2122,12,car,Low
495,20,male,2,own,,little,2996,24,furniture/equipment,Medium
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,High
497,40,male,2,own,little,,1585,24,furniture/equipment,Low
498,32,male,1,own,little,moderate,1301,18,radio/TV,Low
499,28,male,2,own,moderate,rich,1323,6,car,Low
500,27,female,2,own,little,little,3123,24,car,Medium
501,42,male,2,free,little,little,5493,36,car,High
502,49,male,2,own,moderate,rich,1126,9,radio/TV,Low
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,Low
504,24,female,2,rent,little,little,1207,24,car,Low
505,27,male,1,own,,,1309,10,car,Low
506,36,male,2,own,quite rich,rich,2360,15,car,Medium
507,34,male,3,own,moderate,moderate,6850,15,car,Medium
508,28,male,2,own,little,,1413,24,radio/TV,Low
